pref_key,pref_name,lat,lon
hokkaido,北海道,43.064359,141.347449
aomori,青森県,40.824294,140.740054
iwate,岩手県,39.70353,141.152667
miyagi,宮城県,38.268737,140.872183
akita,秋田県,39.718175,140.103356
yamagata,山形県,38.240127,140.362533
fukushima,福島県,37.750146,140.466754
ibaragi,茨城県,36.341817,140.446796
tochigi,栃木県,36.56575,139.883526
gunnma,群馬県,36.391205,139.060917
saitama,埼玉県,35.857771,139.647804
chiba,千葉県,35.604563,140.123179
tokyo,東京都,35.689185,139.691648
kanagawa,神奈川県,35.447505,139.642347
niiigata,新潟県,37.901699,139.022728
toyama,富山県,36.695274,137.211302
ishikawa,石川県,36.594729,136.62555
fukui,福井県,36.06522,136.221641
yamanashi,山梨県,35.665102,138.568985
nagano,長野県,36.651282,138.180972
gifu,岐阜県,35.39116,136.722204
shizuoka,静岡県,34.976987,138.383057
aichi,愛知県,35.180247,136.906698
mie,三重県,34.730547,136.50861
shiga,滋賀県,35.004532,135.868588
kyoto,京都県,35.0209962,135.7531135
osaka,大阪府,34.686492,135.518992
hyogo,兵庫県,34.69128,135.183087
nara,奈良県,34.685296,135.832745
wakayama,和歌山県,34.224806,135.16795
tottori,鳥取県,35.503463,134.238258
shimane,島根県,35.472248,133.05083
okayama,岡山県,34.66132,133.934414
hiroshima,広島県,34.396033,132.459595
yamaguchi,山口県,34.185648,131.470755
tokushima,徳島県,34.065732,134.559293
kagawa,香川県,34.34014,134.04297
ehime,愛媛県,33.841649,132.76585
kochi,高知県,33.55969,133.530887
fukuoka,福岡県,33.606767,130.418228
saga,佐賀県,33.249367,130.298822
nagasaki,長崎県,32.744542,129.873037
kumamoto,熊本県,32.790385,130.742345
oita,大分県,33.2382,131.612674
miyazaki,宮崎県,31.91109,131.423855
kagoshima,鹿児島県,31.560219,130.557906
okinawa,沖縄県,26.211538,127.681115
